ID,TDA_feat_0,TDA_feat_1,TDA_feat_2,TDA_feat_3,TDA_feat_4,TDA_feat_5,TDA_feat_6,TDA_feat_7,TDA_feat_8,TDA_feat_9,TDA_feat_10,TDA_feat_11,TDA_feat_12,TDA_feat_13,TDA_feat_14,TDA_feat_15,TDA_feat_16,TDA_feat_17,TDA_feat_18,TDA_feat_19,TDA_feat_20,TDA_feat_21,TDA_feat_22
1,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,5.6264334,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,0.59935665,0.59935665,0.59935665,0.4295807,0.4295807,0.4295807,0.4295807,55.0,97.0
13,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4191889,5.919729,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,0.3683462,0.3683462,0.3683462,0.3247292,0.3247292,0.3247292,0.3247292,62.0,68.0
36,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,94.0,89.0
3,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,5.6264334,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,0.59935665,0.59935665,0.59935665,0.4295807,0.4295807,0.4295807,0.4295807,79.0,137.0
15,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4191889,5.919729,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,0.3683462,0.3683462,0.3683462,0.3247292,0.3247292,0.3247292,0.3247292,96.0,102.0
25,1.42,1.42,1.42,1.42,1.42,1.42,1.42,7.9052305,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,93.0,88.0
38,1.7799367,1.6700029,1.669982,1.4696025,1.4199977,1.4199977,1.4199977,8.525359,1.0390476,1.0390476,1.0390476,1.0390476,1.0390476,1.0390476,0.35854244,0.3585255,0.3585255,0.3585255,0.3585255,0.3585255,0.3585255,60.0,61.0
41,2.09,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,60.0,55.0
5,1.7800171,1.6700574,1.4695725,1.4695681,1.4395229,1.4341887,1.4341079,5.088697,1.0844051,1.0806974,1.0794537,1.0774584,1.0765902,1.0740898,0.31400967,0.30951977,0.30750346,0.3074155,0.3069589,0.3025241,0.30177712,55.0,63.0
27,1.7799388,1.6700021,1.6699818,1.4696039,1.4199984,1.4199984,1.4199984,7.905213,1.038662,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,0.41108704,0.41108322,0.4110775,0.4110775,0.41107655,0.41107655,0.4110756,62.0,82.0
